"Name","State","Notes","User","Tags","Created","Runtime","Sweep","batch_size","checkpoint","ckpt_freq","data.data","data.eval_instruct_data","data.instruct.dynamic_chunk_fn_call","data.instruct.shuffle","data.instruct_data","data.shuffle","eval_freq","log_freq","lora.dropout","lora.enable","lora.rank","lora.scaling","max_norm","max_steps","model_id_or_path","no_ckpt","no_eval","num_ckpt_keep","num_microbatches","optim.lr","optim.pct_start","optim.weight_decay","run_dir","save_adapters","seed","seq_len","wandb.key","wandb.offline","wandb.project","wandb.run_name","world_size","eval/eval_loss","eval/perplexity","eval/train_loss","train/allocated_mem","train/avg_wps","train/eta_in_seconds","train/loss","train/lr","train/peak_allocated_mem","train/percent_done","train/wps"
"test-ST-Complainst-rank-64","finished","-","","","2024-08-22T08:23:07.000Z","2971","","1","true","50","","/mnt/lawbotica-disk-1/datasets/ST_Complaints_260_r64/eval.jsonl","true","true","/mnt/lawbotica-disk-1/datasets/ST_Complaints_260_r64/train.jsonl","false","50","1","0","true","64","2","1","800","/mnt/lawbotica-disk-1/models/MISTRAL_BASE_MODEL/7B-Instruct-v0.3","false","false","16","1","0.00006","0.05","0.1","/mnt/lawbotica-disk-1/runs/ST_Complaints_260_r64","true","0","8192","04701df3f9d402afad4d24509f65ce9095e7de5c","false","Mistral_Instruct_v3_FineTune","test-ST-Complainst-rank-64","2","0.4729456305503845","1.3879404067993164","0.6186724305152893","17.089487075805664","2277.585267987196","0","0.6186724305152893","2.4e-10","21.90350580215454","100","136.4131083450624"
"test-Summarization-Timelines-merged","finished","-","","","2024-08-21T06:46:25.000Z","2826","","1","true","50","","/mnt/lawbotica-disk-1/datasets/S_T_merged_AnnualReports/eval.jsonl","true","true","/mnt/lawbotica-disk-1/datasets/S_T_merged_AnnualReports/train.jsonl","false","50","1","0","true","64","2","1","800","/mnt/lawbotica-disk-1/models/MISTRAL_BASE_MODEL/7B-Instruct-v0.3","false","false","16","1","0.00006","0.05","0.1","/mnt/lawbotica-disk-1/runs/S_T_merged_AnnualReports","true","0","8192","04701df3f9d402afad4d24509f65ce9095e7de5c","false","Mistral_Instruct_v3_FineTune","test-Summarization-Timelines-merged","2","0.505295991897583","1.419414520263672","0.25522100925445557","17.089487075805664","2395.5429430316635","0","0.25522100925445557","2.4e-10","21.90350580215454","100","152.45124734377413"
"test-S-ExpertReports","finished","-","","","2024-08-20T11:15:45.000Z","1528","","1","true","50","","/mnt/lawbotica-disk-1/datasets/S_ExpertReports/eval.jsonl","true","true","/mnt/lawbotica-disk-1/datasets/S_ExpertReports/train.jsonl","false","50","1","0","true","64","2","1","600","/mnt/lawbotica-disk-1/models/MISTRAL_BASE_MODEL/7B-Instruct-v0.3","false","false","16","1","0.00006","0.05","0.1","/mnt/lawbotica-disk-1/runs/S_ExpertReports","true","0","8192","04701df3f9d402afad4d24509f65ce9095e7de5c","false","Mistral_Instruct_v3_FineTune","test-S-ExpertReports","2","0.5492665767669678","1.4633415937423706","0.0028276736848056316","17.089487075805664","3281.136309459171","0","0.0028276736848056316","2.4e-10","21.90350580215454","100","777.173120000854"
"test-Depositions-summarization-Timelines","finished","-","","","2024-08-20T10:41:59.000Z","1749","","1","true","50","","/mnt/lawbotica-disk-1/datasets/S_T_merged_Depositions/eval.jsonl","true","true","/mnt/lawbotica-disk-1/datasets/S_T_merged_Depositions/train.jsonl","false","50","1","0","true","64","2","1","600","/mnt/lawbotica-disk-1/models/MISTRAL_BASE_MODEL/7B-Instruct-v0.3","false","false","16","1","0.00006","0.05","0.1","/mnt/lawbotica-disk-1/runs/S_T_merged_Depositions","true","0","8192","04701df3f9d402afad4d24509f65ce9095e7de5c","false","Mistral_Instruct_v3_FineTune","test-Depositions-summarization-Timelines","2","0.7401155829429626","1.6703096628189087","0.007307983934879303","17.089487075805664","2952.958742448846","0","0.007307983934879303","2.4e-10","21.90350580215454","100","358.8260135175885"
"test-ST-new-Complaints-Merged","finished","-","","","2024-08-19T08:36:45.000Z","4460","","1","true","50","","/mnt/lawbotica-disk-1/datasets/ST_new_Complaints_merged/eval.jsonl","true","true","/mnt/lawbotica-disk-1/datasets/ST_new_Complaints_merged/train.jsonl","false","50","1","0","true","16","2","1","1000","/mnt/lawbotica-disk-1/models/MISTRAL_BASE_MODEL/7B-Instruct-v0.3","false","false","16","1","0.00006","0.05","0.1","/mnt/lawbotica-disk-1/runs/ST_new_Complaints_merged","true","0","8192","04701df3f9d402afad4d24509f65ce9095e7de5c","false","Mistral_Instruct_v3_FineTune","test-ST-new-Complaints-Merged","2","0.4130412936210632","1.3314896821975708","0.8612362742424011","15.202531814575195","1872.698348108272","0","0.8612362742424011","2.4e-10","20.25334405899048","100","80.6760093593618"
"test-ST-Annual-Reports","finished","-","","","2024-08-19T06:36:46.000Z","1821","","1","true","50","","/mnt/lawbotica-disk-1/datasets/ST_AnnualReports/eval.jsonl","true","true","/mnt/lawbotica-disk-1/datasets/ST_AnnualReports/train.jsonl","false","50","1","0","true","16","2","1","600","/mnt/lawbotica-disk-1/models/MISTRAL_BASE_MODEL/7B-Instruct-v0.3","false","false","16","1","0.00006","0.05","0.1","/mnt/lawbotica-disk-1/runs/ST_AnnualReports","true","0","8192","04701df3f9d402afad4d24509f65ce9095e7de5c","false","Mistral_Instruct_v3_FineTune","test-ST-Annual-Reports","2","0.6420637369155884","1.560559868812561","0.44112804532051086","15.202531814575195","2826.847507588756","0","0.44112804532051086","2.4e-10","20.25334405899048","100","312.39350258025723"
"test-ST-S_Clinical-Research","finished","-","","","2024-08-14T13:46:01.000Z","2544","","1","true","50","","/mnt/lawbotica-disk-1/datasets/S_ClinicalResearch/eval.jsonl","true","true","/mnt/lawbotica-disk-1/datasets/S_ClinicalResearch/train.jsonl","false","50","1","0","true","16","2","1","800","/mnt/lawbotica-disk-1/models/MISTRAL_BASE_MODEL/7B-Instruct-v0.3","false","false","16","1","0.00006","0.05","0.1","/mnt/lawbotica-disk-1/runs/S_ClinicalResearch_65","true","0","8192","04701df3f9d402afad4d24509f65ce9095e7de5c","false","Mistral_Instruct_v3_FineTune","test-ST-S_Clinical-Research","2","0.27732494473457336","1.211945652961731","0.5527627468109131","15.202531814575195","2662.4488816988437","0","0.5527627468109131","2.4e-10","20.25334405899048","100","199.5518259987751"
"test-ST-Annaul-Reports","finished","-","","","2024-08-14T10:54:09.000Z","1741","","1","true","50","","/mnt/lawbotica-disk-1/datasets/S_AnnualReports/eval.jsonl","true","true","/mnt/lawbotica-disk-1/datasets/S_AnnualReports/train.jsonl","false","50","1","0","true","16","2","1","600","/mnt/lawbotica-disk-1/models/MISTRAL_BASE_MODEL/7B-Instruct-v0.3","false","false","12","1","0.00006","0.05","0.1","/mnt/lawbotica-disk-1/runs/S_AnnualReports_48","true","0","8192","04701df3f9d402afad4d24509f65ce9095e7de5c","false","Mistral_Instruct_v3_FineTune","test-ST-Annaul-Reports","2","0.2866881787776947","1.2198368310928345","0.2203725129365921","15.202531814575195","2865.7542366906373","0","0.2203725129365921","2.4e-10","20.25334405899048","100","276.49451284977397"
"test-ST-Annaul-Reports","crashed","-","","","2024-08-14T10:36:09.000Z","321","","1","true","50","","/mnt/lawbotica-disk-1/datasets/S_AnnualReports/eval.jsonl","true","true","/mnt/lawbotica-disk-1/datasets/S_AnnualReports/train.jsonl","false","50","1","0","true","16","2","1","600","/mnt/lawbotica-disk-1/models/MISTRAL_BASE_MODEL/7B-Instruct-v0.3","false","false","12","1","0.00006","0.05","0.1","/mnt/lawbotica-disk-1/runs/S_AnnualReports_48","true","0","8192","04701df3f9d402afad4d24509f65ce9095e7de5c","false","Mistral_Instruct_v3_FineTune","test-ST-Annaul-Reports","2","0.4841969609260559","1.3988070487976074","0.8097442388534546","15.202531814575195","3100.502244401317","1339.5713573501955","0.5316548347473145","0.00005820958886515803","20.25334405899048","15.5","3606.6355007320394"
"test-ST-Complaints-250","finished","-","","","2024-08-13T06:46:35.000Z","13980","","1","true","100","","/mnt/lawbotica-disk-1/datasets/ST_Complaints/eval.jsonl","true","true","/mnt/lawbotica-disk-1/datasets/ST_Complaints/train.jsonl","false","100","1","0","true","16","2","1","1000","/mnt/lawbotica-disk-1/models/MISTRAL_BASE_MODEL/7B-Instruct-v0.3","false","false","12","1","0.00006","0.05","0.1","/mnt/lawbotica-disk-1/runs/adapter_ST_Complaints_250","true","0","8192","04701df3f9d402afad4d24509f65ce9095e7de5c","false","Mistral_Instruct_v3_FineTune","test-ST-Complaints-250","2","0.5278657078742981","1.4417946338653564","0.25209230184555054","8.639791488647461","588.5703581056127","0","0.25209230184555054","2.4e-10","13.729666233062744","100","43.540311545567654"
